SKU	Product ID	Reference Name	Type	Cleared For Sale	Wholesale Price Tier	Displayed Name	Description	Screenshot Path	Effective Date	End Date	Review Notes	Hosted Content Path
StreetsofZombies	ashuradestroyer	ashuradestroyer	Non-Consumable	yes	1	Ashura Destroyer	Ashura Destroyer Weapon!	/Users/Nate/Documents/HighwayDodge/ashuradestroyer.png	4/8/17			
StreetsofZombies	celectialconquer	celectialconquer	Non-Consumable	yes	1	Celectial Conquer	Celectial Conquer Weapon!	/Users/Nate/Documents/HighwayDodge/celectialconquer.png	4/8/17			
StreetsofZombies	goldeneagle	goldeneagle	Non-Consumable	yes	1	Golden Eagle	Golden Eagle Weapon!	/Users/Nate/Documents/HighwayDodge/goldeneagle.png	4/8/17			
StreetsofZombies	hellbreaker	hellbreaker	Non-Consumable	yes	1	Hell Breaker	Hell Breaker Weapon!	/Users/Nate/Documents/HighwayDodge/hellbreaker.png	4/8/17			
StreetsofZombies	archer	archer	Non-Consumable	yes	1	The Archer	The Archer Character!	/Users/Nate/Documents/HighwayDodge/archer.png	4/8/17			
StreetsofZombies	bestchef	bestchef	Non-Consumable	yes	1	Best Chef	Best Chef Character!	/Users/Nate/Documents/HighwayDodge/bestchef.png	4/8/17			
StreetsofZombies	convict	convict	Non-Consumable	yes	1	The Convict	The Convict Character!	/Users/Nate/Documents/HighwayDodge/convict.png	4/8/17			
StreetsofZombies	petethepirate	petethepirate	Non-Consumable	yes	1	Pete The Pirate	Pete The Pirate Character!	/Users/Nate/Documents/HighwayDodge/petethepirate.png	4/8/17			
StreetsofZombies	roxy	roxy	Non-Consumable	yes	1	Roxy	Roxy Character!	/Users/Nate/Documents/HighwayDodge/roxy.png	4/8/17			
StreetsofZombies	thelaw	thelaw	Non-Consumable	yes	1	The Law	The Law Character!	/Users/Nate/Documents/HighwayDodge/thelaw.png	4/8/17			
StreetsofZombies	thechief	thechief	Non-Consumable	yes	1	The Chief	The Chief Character!	/Users/Nate/Documents/HighwayDodge/thechief.png	4/8/17			
StreetsofZombies	teachy	teachy	Non-Consumable	yes	1	Ms Teachy	Ms Teachy Character!	/Users/Nate/Documents/HighwayDodge/teachy.png	4/8/17			
StreetsofZombies	thedoc	thedoc	Non-Consumable	yes	1	The Doc	The Doc Character!	/Users/Nate/Documents/HighwayDodge/thedoc.png	4/8/17			
StreetsofZombies	ninjamaster	ninjamaster	Non-Consumable	yes	1	Ninja Master	Ninja Master Character!	/Users/Nate/Documents/HighwayDodge/ninjamaster.png	4/8/17			
StreetsofZombies	ninjacamo	ninjacamo	Non-Consumable	yes	1	Ninja Camo	Ninja Camo Character!	/Users/Nate/Documents/HighwayDodge/ninjacamo.png	4/8/17			
StreetsofZombies	lasthero	lasthero	Non-Consumable	yes	1	The Last Hero	The Last Hero Character!	/Users/Nate/Documents/HighwayDodge/lasthero.png	4/8/17			
StreetsofZombies	pumpy	pumpy	Non-Consumable	yes	1	Pumpy	Pumpy Character!	/Users/Nate/Documents/HighwayDodge/pumpy.png	4/8/17			
StreetsofZombies	santaZ	santaZ	Non-Consumable	yes	1	Santa	Santa Character!	/Users/Nate/Documents/HighwayDodge/santaZ.png	4/8/17			
StreetsofZombies	snowy	snowy	Non-Consumable	yes	1	Snowy	Snowy Character!	/Users/Nate/Documents/HighwayDodge/snowy.png	4/8/17			
StreetsofZombies	elfy	elfy	Non-Consumable	yes	1	Elfy	Elfy Character!	/Users/Nate/Documents/HighwayDodge/elfy.png	4/8/17			
StreetsofZombies	astronaut	astronaut	Non-Consumable	yes	1	Astronaut	Astronaut Character!	/Users/Nate/Documents/HighwayDodge/astronaut.png	4/8/17			
StreetsofZombies	bones	bones	Non-Consumable	yes	1	Bones	Bones Character!	/Users/Nate/Documents/HighwayDodge/bones.png	4/8/17			
